license - key	license - name	license - spdx_id
bsd-2-clause	"BSD 2-Clause ""Simplified"" License"	BSD-2-Clause
apache-2.0	Apache License 2.0	Apache-2.0
gpl-3.0	GNU General Public License v3.0	GPL-3.0
other	Other	BSD-3-Clause
other	Other	BSD-3-Clause-Modification
other	Other	NOASSERTION
bsd-3-clause	"BSD 3-Clause ""New"" or ""Revised"" License"	BSD-3-Clause
apache-2.0	Apache License 2.0	Apache-2.0
apache-2.0	Apache License 2.0	Apache-2.0
bsd-3-clause	"BSD 3-Clause ""New"" or ""Revised"" License"	BSD-3-Clause
apache-2.0	Apache License 2.0	Apache-2.0
gpl-3.0	GNU General Public License v3.0	GPL-3.0
mit	MIT License	MIT
cc-by-sa-4.0	Creative Commons Attribution Share Alike 4.0 International	CC-BY-SA-4.0
mit	MIT License	MIT
other	Other	BSD 3-Clause License
apache-2.0	Apache License 2.0	Apache-2.0
		Artistic-2.0
gpl-2.0	GNU General Public License v2.0	GPL-2.0
other	Other	NOASSERTION
other	Other	NOASSERTION
bsd-3-clause	"BSD 3-Clause ""New"" or ""Revised"" License"	BSD-3-Clause
gpl-3.0	GNU General Public License v3.0	GPL-3.0
gpl-2.0	GNU General Public License v2.0	GPL-2.0
apache-2.0	Apache License 2.0	Apache-2.0
gpl-3.0	GNU General Public License v3.0	GPL-3.0
other	Other	NOASSERTION
		none
agpl-3.0	GNU Affero General Public License v3.0	AGPL-3.0
mit	MIT License	MIT
other	Other	NOASSERTION
cc-by-sa-4.0	Creative Commons Attribution Share Alike 4.0 International	CC-BY-SA-4.0
apache-2.0	Apache License 2.0	Apache-2.0
apache-2.0	Apache License 2.0	Apache-2.0
cc-by-4.0	Creative Commons Attribution 4.0 International	CC-BY-4.0
mpl-2.0	Mozilla Public License 2.0	MPL-2.0
		BSD-2-Clause
gpl-2.0	GNU General Public License v2.0	GPL-2.0
bsd-3-clause	"BSD 3-Clause ""New"" or ""Revised"" License"	BSD-3-Clause
mit	MIT License	MIT
mit	MIT License	MIT
other	Other	NOASSERTION
cc0-1.0	Creative Commons Zero v1.0 Universal	CC0-1.0
gpl-3.0	GNU General Public License v3.0	GPL-3.0
		CC-BY-4.0
		Custom, Permissive
mit	MIT License	MIT
lgpl-3.0	GNU Lesser General Public License v3.0	LGPL-3.0
bsd-3-clause	"BSD 3-Clause ""New"" or ""Revised"" License"	BSD-3-Clause
gpl-3.0	GNU General Public License v3.0	GPL-3.0
bsd-3-clause	"BSD 3-Clause ""New"" or ""Revised"" License"	BSD-3-Clause
other	Other	MIT
mit	MIT License	MIT
		perl 5
gpl-2.0	GNU General Public License v2.0	GPL-2.0
mit	MIT License	MIT
gpl-3.0	GNU General Public License v3.0	GPL-3.0
cc-by-4.0	Creative Commons Attribution 4.0 International	CC-BY-4.0
cc-by-sa-4.0	Creative Commons Attribution Share Alike 4.0 International	CC-BY-SA-4.0
cc-by-sa-4.0	Creative Commons Attribution Share Alike 4.0 International	CC-BY-SA-4.0
