ProjectPseudonym	project-user-count
Project0	"How many users / contributors / community members do you have at the moment?

Estimate if you're not sure. Draw from analytics, GitHub, etc. as appropriate. - Selected Choice"
Project2	50-100
Project10	Other, please specify
Project13	50-100
Project14	10-20
Project15	1-10
Project16	1-10
Project18	1000-10,000
Project20	1-10
Project23	20-50
Project28	1-10
Project31	50-100
Project32	100-1000
Project33	1-10
Project34	1-10
Project49	100-1000
Project73	Other, please specify
Project76	1000-10,000
Project79	50-100
Project82	1-10
Project83	1-10
Project85	1-10
Project86	10-20
Project88	1000-10,000
Project92	100-1000
Project95	100-1000
Project96	100-1000
Project97	50-100
Project98	1-10
Project99	20-50
Project100	1000-10,000
Project106	1-10
Project108	1000-10,000
Project110	10-20
Project111	10-20
Project112	1-10
Project113	1-10
Project114	1-10
Project132	Other, please specify
