Archive	ProjectPseudonym	﻿StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	screening-q	consent-read-pis	consent-voluntary	consent-anon-publish	consent-regulatory	consent-institutes	consent-optional	consent-overall	consent-signed	project-name	project-founded	project-urls	project-open-contrib	project-open-contrib_3_TEXT	project-user-count	project-user-count_7_TEXT	project-user-potentl	project-user-potentl_7_TEXT	project-interns	you-github-user	you-email	you-role	leadership-team-size	you-paid	you-paid_5_TEXT	funds-grant-funds	funds-others-pick-up	funds-others-now	funds-others-in-past	future-funding-plans	future-one-year	future-one-year_6_TEXT	future-five-years	future-five-years_6_TEXT	future-cant-maintain	future-cant-maintain_6_TEXT	anything-else	funds-others-in-past - Parent Topics	funds-others-in-past - Topics
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project0	Start Date	End Date	Response Type	IP Address	Progress	Duration (in seconds)	Finished	Recorded Date	Response ID	Recipient Last Name	Recipient First Name	Recipient Email	External Data Reference	Location Latitude	Location Longitude	Distribution Channel	User Language	"Are you leading or co-leading a open source / open science related project?

This might mean you're a research software engineer who writes open source software, a leader of an open science community project or event, or a researcher who writes code in R, Python, or any other coding language, so long as the project is open. You don't have to the be the PI of the project, but it's best if any given project only answers once. 

If you're unsure if this applies to you, please contact yochannah.yehudi@postgrad.manchester.ac.uk for clarification."	I confirm that I have read the participant information sheet (on the previous page) for the above...	"I understand that my participation in the study is 
voluntary and that I am free to withdraw at any time without giving a 
reason and without detriment to myself.  I understand that it will not 
be possible to remove my data from the project once it has been 
anonymised and forms part of the data set. 


I agree to take part on this basis."	I agree that any data collected may be published in anonymous form in academic books, reports, journals, and data repositories.	"I understand that data collected during the study 
may be looked at by individuals from The University of Manchester or 
regulatory authorities, where it is relevant to my taking part in this 
research. I give permission for these individuals to have access to my 
data."	I agree that any personal/anonymised data collected may be shared with researchers/researchers at other institutions.	"Optional Consent item:

You can still participate in the study even if you choose to answer ""no"" to the next item:


I agree to share my pseudonymised survey responses openly online. (Optional)."	"Overall agreement: 

I agree to take part in this study."	[Anonymised]	[Anonymised]	"When was this project founded?

It's okay to approximate, we don't need a precise day."	"What is your project's online code repository URL (e.g. GitHub URL). 
If you have more than one repository for your project please share as many URLs as you think are relevant, one per line."	Is this project open to contributions from the public? - Selected Choice	Is this project open to contributions from the public? - Other - Text	"How many users / contributors / community members do you have at the moment?

Estimate if you're not sure. Draw from analytics, GitHub, etc. as appropriate. - Selected Choice"	"How many users / contributors / community members do you have at the moment?

Estimate if you're not sure. Draw from analytics, GitHub, etc. as appropriate. - Other, please specify - Text"	"How many users / contributors / community members would you realistically like to have in the future?

Consider the size of your target audience - for example, if you're creating a community or software for a small niche interest, try to be realistic about the maximum number of people possible. - Selected Choice"	"How many users / contributors / community members would you realistically like to have in the future?

Consider the size of your target audience - for example, if you're creating a community or software for a small niche interest, try to be realistic about the maximum number of people possible. - Other, please specify - Text"	"Have you ever had paid interns working on this project, e.g. through Google Summer of Code, Outreachy, or some other internship scheme? How many? 

Please enter 0 if you have had no interns, or make your best guess if you are not sure. If any interns are working right now, please include them in the total."	[Anonymised]	[Anonymised]	"What is your role in this project?

(e.g. founder, maintainer, contributor, mentor, intern)"	How many people, including you, are in the leadership team for this project?	"Is this project part of your job?

Are you paid to work on this project? - Selected Choice"	"Is this project part of your job?

Are you paid to work on this project? - Other, please specify - Text"	Is this project linked to grant funding with an end date?	If you leave your role, would you expect others to pick this project up?	How many others are currently paid to work on this project? This does not include interns.	Have others been paid to work on the project in the past? If so, how many? This does not include interns.	future-funding-plans	"In an ideal situation, where do you see your project one year from now?

Assume you have the funding and/or time you wish to spend on this project. - Selected Choice"	"In an ideal situation, where do you see your project one year from now?

Assume you have the funding and/or time you wish to spend on this project. - Other, please specify - Text"	"In an ideal situation, where do you see your project five years from now?

Assume you have the funding and/or time you wish to spend on this project. - Selected Choice"	"In an ideal situation, where do you see your project five years from now?

Assume you have the funding and/or time you wish to spend on this project. - Other, please specify - Text"	"If you find yourself unable to maintain the project any longer, what do you forsee happening?

Select as many as apply to your situation - Selected Choice"	"If you find yourself unable to maintain the project any longer, what do you forsee happening?

Select as many as apply to your situation - Other, please specify - Text"	Final question: Anything you'd like to add that we didn't ask about?	funds-others-in-past - Parent Topics	funds-others-in-past - Topics
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project1	"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"	"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}"	"{""ImportId"":""status""}"	"{""ImportId"":""ipAddress""}"	"{""ImportId"":""progress""}"	"{""ImportId"":""duration""}"	"{""ImportId"":""finished""}"	"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}"	"{""ImportId"":""_recordId""}"	"{""ImportId"":""recipientLastName""}"	"{""ImportId"":""recipientFirstName""}"	"{""ImportId"":""recipientEmail""}"	"{""ImportId"":""externalDataReference""}"	"{""ImportId"":""locationLatitude""}"	"{""ImportId"":""locationLongitude""}"	"{""ImportId"":""distributionChannel""}"	"{""ImportId"":""userLanguage""}"	"{""ImportId"":""QID1""}"	"{""ImportId"":""QID4""}"	"{""ImportId"":""QID5""}"	"{""ImportId"":""QID6""}"	"{""ImportId"":""QID7""}"	"{""ImportId"":""QID8""}"	"{""ImportId"":""QID9""}"	"{""ImportId"":""QID10""}"	[Anonymised]	[Anonymised]	"{""ImportId"":""QID42_TEXT""}"	"{""ImportId"":""QID21_TEXT""}"	"{""ImportId"":""QID22""}"	"{""ImportId"":""QID22_3_TEXT""}"	"{""ImportId"":""QID23""}"	"{""ImportId"":""QID23_7_TEXT""}"	"{""ImportId"":""QID24""}"	"{""ImportId"":""QID24_7_TEXT""}"	"{""ImportId"":""QID25_TEXT""}"	[Anonymised]	[Anonymised]	"{""ImportId"":""QID28_TEXT""}"	"{""ImportId"":""QID29_TEXT""}"	"{""ImportId"":""QID30""}"	"{""ImportId"":""QID30_5_TEXT""}"	"{""ImportId"":""QID31""}"	"{""ImportId"":""QID32""}"	"{""ImportId"":""QID33_TEXT""}"	"{""ImportId"":""QID34_TEXT""}"	"{""ImportId"":""QID35""}"	"{""ImportId"":""QID36""}"	"{""ImportId"":""QID36_6_TEXT""}"	"{""ImportId"":""QID37""}"	"{""ImportId"":""QID37_6_TEXT""}"	"{""ImportId"":""QID39""}"	"{""ImportId"":""QID39_6_TEXT""}"	"{""ImportId"":""QID40_TEXT""}"	"{""ImportId"":""QID34_TEXT_2b9204ce43034ab18307418bParTopics""}"	"{""ImportId"":""QID34_TEXT_2b9204ce43034ab18307418bTopics""}"
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project2	2021-05-03 10:56:21	2021-05-03 11:02:36	IP Address	[Anonymised]	100	375	True	2021-05-03 11:02:37	R_3je4qKTCbOTDeRT					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	Sep 2020	https://github.com/[Anonymised]/[Anonymised]	Yes		50-100		100-1000		0	[Anonymised]	[Anonymised]	maintainer, contributor	1	"	Yes, as a staff member with a temporary or fixed-term contract"		No	Yes	0	0	Yes	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		"	My colleagues/employees would continue to work on this,	I would provide periodic but rare updates when I could."				Unknown
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project3	2021-05-09 09:56:14	2021-05-09 09:56:57	IP Address	[Anonymised]	100	43	True	2021-05-09 09:56:58	R_30qOX7mCLGFIsxh					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project4	2021-05-09 10:06:44	2021-05-09 10:07:22	IP Address	[Anonymised]	100	37	True	2021-05-09 10:07:22	R_4ZRA5yjIwUFMigV					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project5	2021-05-09 10:11:03	2021-05-09 10:11:16	IP Address	[Anonymised]	100	13	True	2021-05-09 10:11:16	R_2DZk1EXpvdyfrQ4					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project6	2021-05-09 10:11:47	2021-05-09 10:12:29	IP Address	[Anonymised]	100	41	True	2021-05-09 10:12:29	R_2YP0mKypTNOr5M2					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes																															
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project7	2021-05-09 10:41:07	2021-05-09 10:41:17	IP Address	[Anonymised]	100	9	True	2021-05-09 10:41:17	R_1E9WmePdaH2foar					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project8	2021-05-09 10:59:39	2021-05-09 10:59:44	IP Address	[Anonymised]	100	4	True	2021-05-09 10:59:44	R_1g0x4ywvYdyV2RO					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project9	2021-05-09 11:09:23	2021-05-09 11:09:40	IP Address	[Anonymised]	100	16	True	2021-05-09 11:09:40	R_1H1c8TQNU7ZQ774					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
