Archive	﻿StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	project-open-contrib	project-open-contrib_3_TEXT	project-user-count	project-user-count_7_TEXT	project-user-potentl	project-user-potentl_7_TEXT	project-interns	you-github-user	ProjectPseudonym	consent-optional	you-role	leadership-team-size	you-paid	you-paid_5_TEXT	funds-grant-funds	funds-others-pick-up	funds-others-now	funds-others-in-past	future-funding-plans	future-one-year	future-one-year_6_TEXT	future-five-years	future-five-years_6_TEXT	future-cant-maintain	future-cant-maintain_6_TEXT	anything-else
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	Start Date	End Date	Response Type	IP Address	Progress	Duration (in seconds)	Finished	Recorded Date	Response ID	Recipient Last Name	Recipient First Name	[Anonymised]	External Data Reference	Location Latitude	Location Longitude	Distribution Channel	User Language	Is this project still open to contributions from the public? - Selected Choice	Is this project still open to contributions from the public? - Other - Text	"How many users / contributors / community members do you have at the moment?

Estimate if you're not sure. Draw from analytics, GitHub, etc. as appropriate. - Selected Choice"	"How many users / contributors / community members do you have at the moment?

Estimate if you're not sure. Draw from analytics, GitHub, etc. as appropriate. - Other, please specify - Text"	"How many users / contributors / community members would you realistically like to have in the future?

Consider the size of your target audience - for example, if you're creating a community or software for a small niche interest, try to be realistic about the maximum number of people possible. - Selected Choice"	"How many users / contributors / community members would you realistically like to have in the future?

Consider the size of your target audience - for example, if you're creating a community or software for a small niche interest, try to be realistic about the maximum number of people possible. - Other, please specify - Text"	"Have you ever had paid interns working on this project, e.g. through Google Summer of Code, Outreachy, or some other internship scheme? How many? 

Please enter 0 if you have had no interns, or make your best guess if you are not sure. If any interns are working right now, or you anticipate taking them on in the next few weeks, please include them in the total."	[Anonymised]			Is your role in this project the same as it was at the end of 2021, when you filled out the previous survey?	How many people, including you, are in the leadership team for this project?	"Is this project part of your job?

Are you paid to work on this project? Select all that apply. - Selected Choice"	"Is this project part of your job?

Are you paid to work on this project? Select all that apply. - Other, please specify - Text"	Is this project linked to grant funding with an end date?	If you leave your role, would you expect others to pick this project up?	How many others are currently paid to work on this project? This does not include interns.	Have others been paid to work on the project in the past? If so, how many? This does not include interns.	future-funding-plans	"In an ideal situation, where do you see your project one year from now?

Assume you have the funding and/or time you wish to spend on this project. - Selected Choice"	"In an ideal situation, where do you see your project one year from now?

Assume you have the funding and/or time you wish to spend on this project. - Other, please specify - Text"	"In an ideal situation, where do you see your project five years from now?

Assume you have the funding and/or time you wish to spend on this project. - Selected Choice"	"In an ideal situation, where do you see your project five years from now?

Assume you have the funding and/or time you wish to spend on this project. - Other, please specify - Text"	"If you find yourself unable to maintain the project any longer, what do you forsee happening?

Select as many as apply to your situation - Selected Choice"	"If you find yourself unable to maintain the project any longer, what do you forsee happening?

Select as many as apply to your situation - Other, please specify - Text"	Final question: Anything you'd like to add that we didn't ask about?
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}"	"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}"	"{""ImportId"":""status""}"	"{""ImportId"":""ipAddress""}"	"{""ImportId"":""progress""}"	"{""ImportId"":""duration""}"	"{""ImportId"":""finished""}"	"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}"	"{""ImportId"":""_recordId""}"	"{""ImportId"":""recipientLastName""}"	"{""ImportId"":""recipientFirstName""}"	[Anonymised]	"{""ImportId"":""externalDataReference""}"	"{""ImportId"":""locationLatitude""}"	"{""ImportId"":""locationLongitude""}"	"{""ImportId"":""distributionChannel""}"	"{""ImportId"":""userLanguage""}"	"{""ImportId"":""QID22""}"	"{""ImportId"":""QID22_3_TEXT""}"	"{""ImportId"":""QID23""}"	"{""ImportId"":""QID23_7_TEXT""}"	"{""ImportId"":""QID24""}"	"{""ImportId"":""QID24_7_TEXT""}"	"{""ImportId"":""QID25_TEXT""}"	[Anonymised]			"{""ImportId"":""QID28_TEXT""}"	"{""ImportId"":""QID29_TEXT""}"	"{""ImportId"":""QID30""}"	"{""ImportId"":""QID30_5_TEXT""}"	"{""ImportId"":""QID31""}"	"{""ImportId"":""QID32""}"	"{""ImportId"":""QID33_TEXT""}"	"{""ImportId"":""QID34_TEXT""}"	"{""ImportId"":""QID35""}"	"{""ImportId"":""QID36""}"	"{""ImportId"":""QID36_6_TEXT""}"	"{""ImportId"":""QID37""}"	"{""ImportId"":""QID37_6_TEXT""}"	"{""ImportId"":""QID39""}"	"{""ImportId"":""QID39_6_TEXT""}"	"{""ImportId"":""QID40_TEXT""}"
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 05:46:42	2022-05-31 05:49:27	IP Address	[Anonymised]	100	165	True	2022-05-31 05:49:27	R_1GV5cVTPROKP25x			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		20-50		50-100		0	[Anonymised]	Project99	Yes	Yes	1	Yes, as a staff member with a temporary or fixed-term contract		No	Yes	0	0	Yes	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		"	My colleagues/employees would continue to work on this,	I would continue to provide updates in my free time,	I would provide periodic but rare updates when I could."		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 05:51:13	2022-05-31 05:53:34	IP Address	[Anonymised]	100	141	True	2022-05-31 05:53:35	R_1hYCiFbrFWUzMC9			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		100-1000		1000-10,000		0	[Anonymised]	Project92	Yes	Yes	2	Yes, as a staff member with a temporary or fixed-term contract		Yes	Yes	1	1	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 05:59:45	2022-05-31 06:03:49	IP Address	[Anonymised]	100	243	True	2022-05-31 06:03:49	R_3qexricz1cL2bpn			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		1-10		no interns, but a (funded) PhD student	[Anonymised]	Project106	Yes	yes	1	No,Other, please specify	my academic employer accepts that I spend time on this project	No	No	0	no	No	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		"	I would continue to provide updates in my free time,	I would provide periodic but rare updates when I could."		"The future of the project is very dependent on a small number of users / contributors. My current work does not focus on it, although I hop I can officially spend time on it in the future.
In short, there is a lot of uncertainty"
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 06:19:45	2022-05-31 06:27:03	IP Address	[Anonymised]	100	438	True	2022-05-31 06:27:04	R_1E5vboISbAyekV0			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		10-20		0	[Anonymised]	Project14	Yes	yes	1	No		No	Yes	0	0	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"	I would provide periodic but rare updates when I could."		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 06:31:03	2022-05-31 06:34:51	IP Address	[Anonymised]	100	227	True	2022-05-31 06:34:51	R_3Okms3CIsndhhO4			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		Other, please specify	we have 1 who is very active, and a total of 50-100 over time	Other, please specify	3-8 active would be good	5	[Anonymised]	Project95	Yes	yes	4	Yes, as a staff member with a permanent contract		Yes	Yes	currently 1 but we should have a new grant starting soon	5	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		My community members would keep this project running.		I don't know that these questions and answers really match what's going on, or that fixed questions and answers can capture the state of the project accurately
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 06:47:12	2022-05-31 06:55:08	IP Address	[Anonymised]	100	476	True	2022-05-31 06:55:09	R_2bUxZVRksWDEOne			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		1-10		0	[Anonymised]	"	
Project32"		yes	1	Other, please specify	Yes, I do it as freelancer	No	Yes	2	10	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		I again struggle to understand the questions from your questionnaire. How can I control whether contributors have been paid and how do I know what will happen in the future. As a freelancer it is actually a good thing to have the software depend on me, because that creates a business opportunity, which in turn is the sustainability model of my software. If there would be a developers community there would be no business model and the software would no longer be sustainable, because it is unclear who will coordinate and pay those contributors.
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 07:32:46	2022-05-31 07:36:00	IP Address	[Anonymised]	100	193	True	2022-05-31 07:36:01	R_3GfYzsZI0Kyij5f			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		1-10		10-20		0	[Anonymised]	Project114	Yes	Yes	2	Yes, as a staff member with a temporary or fixed-term contract		Yes	No	0	0	No	still active and being maintained/updated, me still contributing		"	finalised with occasional updates"		"My community members would keep this project running.,	My colleagues/employees would continue to work on this,	I would continue to provide updates in my free time"		
12+month+open+software+sustainability+survey_November+8,+2022_07.55.zip	2022-05-31 06:43:55	2022-05-31 08:26:21	IP Address	[Anonymised]	100	6146	True	2022-05-31 08:26:22	R_3MsrTpEzXifo9VS			[Anonymised]		[Anonymised]	[Anonymised]	email	EN	Yes		10-20		20-50		1	[Anonymised]	Project99	Yes	yes	2	Yes, as a staff member with a temporary or fixed-term contract		Yes	No	0	1	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"	I would provide periodic but rare updates when I could."		"The question on ""payed others"" is tricky. I have a research lab with three PhD students, they are all expected to contributed to the project if it fits into their projects. And some did some extensions, so technically, yes I pay them to improve the project, but practically it is very minor/small additions."
