ProjectPseudonym	StartDate	project-founded
Project0	Start Date	"When was this project founded?

It's okay to approximate, we don't need a precise day."
Project2	2021-05-03T10:56:21Z	2020-09-01T00:00:00Z
Project10	2021-05-09T11:35:03Z	2019-01-01T00:00:00Z
Project13	2021-05-09T14:17:32Z	2013-08-01T00:00:00Z
Project14	2021-05-09T15:01:05Z	2015-11-14T00:00:00Z
Project15	2021-05-09T15:57:53Z	1998-01-01T00:00:00Z
Project16	2021-05-09T22:37:05Z	2015-12-01T00:00:00Z
Project18	2021-05-10T02:25:32Z	2018-01-01T00:00:00Z
Project20	2021-05-10T02:19:54Z	2019-01-01T00:00:00Z
Project23	2021-05-10T10:02:14Z	2020-01-01T00:00:00Z
Project28	2021-05-11T07:58:40Z	2017-01-01T00:00:00Z
Project31	2021-05-10T08:16:49Z	2019-06-01T00:00:00Z
Project32	2021-05-16T06:47:43Z	2013-01-01T00:00:00Z
Project33	2021-05-17T15:40:23Z	2020-01-01T00:00:00Z
Project34	2021-05-18T11:54:40Z	2019-06-01T00:00:00Z
Project49	2021-05-10T01:12:38Z	2013-04-01T00:00:00Z
Project73	2021-05-26T16:20:29Z	2003-01-01T00:00:00Z
Project76	2021-06-03T14:54:08Z	2006-01-01T00:00:00Z
Project79	2021-06-03T15:49:45Z	2006-01-01T00:00:00Z
Project82	2021-06-04T00:50:03Z	2019-06-01T00:00:00Z
Project83	2021-06-04T01:16:50Z	2015-01-01T00:00:00Z
Project85	2021-06-04T07:10:06Z	2021-01-01T00:00:00Z
Project86	2021-06-04T07:13:17Z	2019-03-01T00:00:00Z
Project88	2021-06-04T08:41:38Z	1975-06-01T00:00:00Z
Project92	2021-06-04T10:31:24Z	2014-01-01T00:00:00Z
Project95	2021-06-05T12:49:18Z	2016-01-01T00:00:00Z
Project96	2021-06-06T09:18:36Z	2018-01-01T00:00:00Z
Project97	2021-06-07T02:38:49Z	2002-01-01T00:00:00Z
Project98	2021-06-07T04:42:37Z	2018-02-01T00:00:00Z
Project99	2021-06-08T02:13:36Z	2011-01-01T00:00:00Z
Project100	2021-06-09T10:14:53Z	2015-01-01T00:00:00Z
Project106	2021-06-11T02:43:08Z	2016-04-01T00:00:00Z
Project108	2021-06-11T04:29:11Z	2016-01-01T00:00:00Z
Project110	2021-06-11T09:02:01Z	2007-01-01T00:00:00Z
Project111	2021-06-11T09:46:56Z	2009-01-01T00:00:00Z
Project112	2021-06-12T10:09:25Z	2003-01-01T00:00:00Z
Project113	2021-06-15T00:58:31Z	2002-01-01T00:00:00Z
Project114	2021-06-15T19:38:30Z	2019-10-01T00:00:00Z
Project132	2021-06-21T06:08:39Z	2017-09-01T00:00:00Z
